Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
237.6793147,65.05666833,25.47028833,18.51672219,1.121065021,177.1100006,1.5,7.300000191
238.6793147,65.056655,25.470285,17.81672689,1.193640828,185.8699951,1.700000048,7.400000095
239.6793147,65.05663833,25.47028667,17.61673339,1.264672518,179.1199951,1.600000024,7.5
240.6793147,65.05662167,25.47028833,17.11673989,1.290923357,176.6100006,1.700000048,7.599999905
241.6793147,65.05660667,25.47029167,17.01674594,1.34033668,186.8999939,1.700000048,7.300000191
242.6793147,65.05659667,25.47028333,16.91674883,1.359381437,183.0599976,1.700000048,7.300000191
243.6793147,65.05658667,25.47027,16.81675118,1.374308348,206.0500031,1.700000048,7.400000095
244.6793147,65.05657667,25.47025667,16.31675353,1.331586361,202.3500061,1.700000048,7.400000095
245.6793147,65.05656333,25.47024333,16.21675715,1.350631118,200.3800049,1.700000048,7.5
246.6793147,65.05654833,25.47024167,16.21676266,1.351660609,182.6000061,1.700000048,7.599999905
247.6793147,65.056535,25.47024667,16.01676826,1.357322454,176.2200012,1.799999952,7.800000191
248.6793147,65.05652,25.47026,16.11677539,1.300188303,164.8500061,1.799999952,7.800000191
249.6793147,65.05650833,25.47026833,15.91678072,1.237392187,168.8600006,1.799999952,8.0
250.6793147,65.056495,25.47027167,15.51678613,1.187978864,176.1000061,1.700000048,7.800000191
251.6793147,65.05648333,25.47027833,15.31679128,1.103049755,166.4400024,1.700000048,7.800000191
252.6793147,65.05647167,25.47028333,15.21679625,1.074740052,172.1399994,1.700000048,7.699999809
253.6793147,65.05646,25.47028333,15.01680067,1.078343034,181.25,1.700000048,7.900000095
254.6793147,65.05644333,25.47028,14.61680663,1.065474987,175.4299927,1.700000048,8.0
255.6793147,65.05643167,25.47027833,14.11681088,1.016061664,180.8999939,1.799999952,7.400000095
256.6793147,65.056415,25.47027667,13.81681702,0.9980463982,187.2700043,1.700000048,7.400000095
257.6793147,65.05639833,25.47027667,13.51682334,0.9800311327,182.3200073,1.600000024,7.400000095
258.6793147,65.05637833,25.47027833,13.21683111,1.034591675,183.5800018,1.700000048,7.400000095
259.6793147,65.05636333,25.47028167,13.31683716,1.080401897,180.5200043,1.600000024,7.199999809
260.6793147,65.056345,25.47028167,13.21684411,1.147830606,181.5599976,1.600000024,7.099999905
261.6793147,65.05633,25.47028333,13.21684998,1.208567739,169.5800018,1.600000024,7.199999809
262.6793147,65.056315,25.47028167,13.21685549,1.275481701,179.0099945,1.600000024,7.300000191
263.6793147,65.05630333,25.47028667,13.11686046,1.294526339,181.7599945,1.600000024,7.199999809
264.6793147,65.05629167,25.470285,13.1168647,1.363499165,175.5200043,1.600000024,7.300000191
265.6793147,65.05628167,25.470285,13.0168685,1.394382477,178.8200073,1.600000024,7.5
266.6793147,65.05627,25.47029,12.81687346,1.426810026,170.1600037,1.600000024,7.599999905
267.6793147,65.05625333,25.47030167,12.51688104,1.50865078,166.2899933,1.600000024,7.400000095
268.6793147,65.05623333,25.47031,12.21688953,1.533357501,164.4299927,1.700000048,7.699999809
269.6793147,65.05621667,25.47032,12.11689693,1.526666164,159.6199951,1.700000048,7.800000191
270.6793147,65.05619833,25.47032667,12.2169046,1.518430591,158.0099945,1.700000048,7.900000095
271.6793147,65.05618167,25.47034333,12.51691272,1.503503561,155.1600037,1.700000048,7.800000191
272.6793147,65.05616667,25.47036167,12.41692039,1.499900579,151.8999939,1.700000048,7.900000095
273.6793147,65.056155,25.47038,12.41692679,1.51482749,155.8899994,1.600000024,7.5
274.6793147,65.05613667,25.47039833,12.51693572,1.50865078,156.1999969,1.600000024,7.699999809
275.6793147,65.05611833,25.47042,12.71694501,1.557549477,158.3600006,1.700000048,7.599999905
276.6793147,65.0561,25.47043833,12.91695394,1.611595273,159.8099976,1.700000048,7.599999905
277.6793147,65.05608167,25.47044833,12.61696196,1.595124125,167.7200012,1.700000048,7.300000191
278.6793147,65.05606167,25.47046167,12.61697099,1.626007557,166.8999939,1.600000024,7.300000191
279.6793147,65.05604333,25.470475,12.31697937,1.672332525,168.3500061,1.5,7.300000191
280.6793147,65.05602833,25.47048333,12.11698596,1.677479744,180.1499939,1.700000048,7.300000191
281.6793147,65.05601333,25.47048,12.01699129,1.73409915,179.9199982,1.700000048,7.099999905
282.6793147,65.056,25.47047,12.11699526,1.744908333,209.3999939,1.700000048,7.099999905
283.6793147,65.05599,25.47045,11.9169969,1.733069777,217.6399994,1.600000024,6.900000095
284.6793147,65.05598333,25.470425,11.91699674,1.73770225,227.6100006,1.5,6.900000095
285.6793147,65.055975,25.47039167,12.21699631,1.726893067,239.3500061,1.5,6.900000095
286.6793147,65.05596667,25.47035167,12.61699516,1.706304193,240.6600037,1.600000024,6.900000095
287.6793147,65.05595833,25.470315,12.91699437,1.660493851,243.1199951,1.600000024,6.800000191
288.6793147,65.05595167,25.47027667,12.91699277,1.58946228,239.3899994,1.600000024,7.0
289.6793147,65.05594833,25.47024667,13.11699081,1.519974709,240.6600037,1.600000024,6.800000191
290.6793147,65.05594,25.47021667,13.21699074,1.505562544,247.5599976,1.5,6.699999809
291.6793147,65.05593667,25.47018667,13.11698877,1.46747303,261.2000122,1.600000024,7.0
292.6793147,65.05593167,25.47015,12.91698672,1.492694497,256.7000122,1.700000048,7.0
293.6793147,65.055925,25.47012,13.01698602,1.499385834,252.4400024,1.799999952,7.199999809
294.6793147,65.05592167,25.47009333,13.21698442,1.434016109,273.6199951,1.700000048,7.5
295.6793147,65.05592,25.47007333,13.6169829,1.344454408,265.2000122,1.600000024,7.300000191
296.6793147,65.05592,25.47005333,13.81698075,1.235333323,268.2200012,1.600000024,7.199999809
297.6793147,65.05591833,25.47002833,14.21697869,1.180258036,268.4599915,1.600000024,7.300000191
298.6793147,65.05591167,25.46999833,14.31697799,1.14474225,260.8599854,1.600000024,7.199999809
